USERNAME,RATING FOR THE SHOW,REVIEW TEXT,URL TO THE REVIEWER'S PROFILE,THE NUMBER OF TOTAL REVIEWS FOR THE REVIEWER,TOMATOMETER,AUDIENCE SCORE,something random because AUDIENCE SCORE doesn't show up
,,,,,77%,87%
Joey Rambles,"fresh, Original Score: 7.5/10","The Peripheral won’t win over everyone, but its terrific cast, arresting visuals, and overflowing energy elevate it from being just another action offering.",https://www.rottentomatoes.com/critics/joey-rambles,8
Austin Burke,"fresh, ","The Peripheral is entertaining, engaging, and interesting. The series features two futuristic worlds that each have their own fascinating characteristics and stunning visual effects.",https://www.rottentomatoes.com/critics/austin-burke,50+
Adam Lock,"fresh, Original Score: 3.5/5","The Peripheral is atmospheric, gory, and cinematic, while its world-building is finely crafted, although the villains are paper thin and the techno-jargon can be convoluted at times.",https://www.rottentomatoes.com/critics/adam-lock,22
Ed Power,"fresh, ",Gibson's sci-fi stories haven't always worked well on screen. This one nails it.,https://www.rottentomatoes.com/critics/ed-power-16789,50+
Sarah Ward,"fresh, ","A series filled with intrigue and ambition, vivid world-building and engaging performances, including from a particularly stellar Moretz. Plugging in is easy — as is staying connected.",https://www.rottentomatoes.com/critics/sarah-ward,50+
Jennifer Bisset,"fresh, ","The Peripheral conjures just the right amount of mind-bending force, without snapping the illusion.",https://www.rottentomatoes.com/critics/jennifer-bisset,19
Marty Brown,"fresh, Original Score: 4/5",This thrilling series seems to have learned from Westworld's mistakes.,https://www.rottentomatoes.com/critics/marty-brown,50+
John Townsend,"fresh, Original Score: 4/5","This is hard sci-fi, at times a baffling conduit of ideas, and it’s hugely impressive!",https://www.rottentomatoes.com/critics/john-townsend,22
Karama Horne,"fresh, ","If you are a fan of cyberpunk crime drama anime like “Ghost in the Shell” or “Psycho-Pass,” or are looking for something to scratch that “Westworld” itch, “The Peripheral” is a joy to watch.",https://www.rottentomatoes.com/critics/karama-horne,23
Charlotte Harrison,"fresh, ","Impeccable world-building, I can’t wait to see how this pans out.",https://www.rottentomatoes.com/critics/charlotte-harrison,50+
Brad Newsome,"fresh, ","Based on the novel by William Gibson, it’s tough stuff lushly rendered.",https://www.rottentomatoes.com/critics/brad-newsome,50+
Alison de Souza,"fresh, Original Score: 4/5","Starring Chloe Grace Moretz as a young woman who gets more than she bargains for after playing a hyper-realistic simulation game, the show explores the tantalising possibilities of inhabiting a body other than your own -- and other juicy concepts.",https://www.rottentomatoes.com/critics/alison-de-souza,50+
Hernán Ferreirós,"fresh, Original Score: 3/5","The series is brought to life every time science fiction ideas are put forth, and the pulpier they are, the better. [Full review in Spanish]",https://www.rottentomatoes.com/critics/hernan-ferreiros,24
Abhishek Srivastava,"fresh, Original Score: 4/5","It’s a smart series that weaves beautifully an amazing sci-fi story and time travel. If you are having ‘Westworld’ pangs, you have a worthy successor at hand.",https://www.rottentomatoes.com/critics/abhishek-srivastava,8
Cheryl Eddy,"fresh, ","It’s a lot to take in—but hardly any of it is extraneous, and nearly every nugget of information sprinkled throughout both stories becomes important.",https://www.rottentomatoes.com/critics/cheryl-eddy,50+
James Croot,"fresh, ",iI’s lifted by terrific performances from the always reliable Mortez.,https://www.rottentomatoes.com/critics/james-croot,50+
Sam Stone,"fresh, ","The Peripheral definitely has the production value and talented cast worthy of its scope, asking big questions and delivering pointed commentary on the world today with skill.",https://www.rottentomatoes.com/critics/sam-stone,45
Alex Maidy,"fresh, Original Score: 8/10",The new series The Peripheral manages to upend expectations by blending the intelligent and complex sci-fi of series like Westworld with the intricacies of crime dramas like Ozark and Breaking Bad.,https://www.rottentomatoes.com/critics/alex-maidy,50+
James Field,"fresh, ","If you like slick sci-fi that doesn’t explain everything to you mixed with family drama and gunfights, The Peripheral is for you.",https://www.rottentomatoes.com/critics/james-field,46
Tara Bennett,"fresh, Original Score: 6/10","It’s an attractive show to look at, with richly realized production design, costuming, and special effects. But that can only take a viewer so far.",https://www.rottentomatoes.com/critics/tara-bennett,50+
